Citing DOI,Citation ID,CC paragraph,Cited title,DOI
10.3390/nano8121071,B29-nanomaterials-08-01071,"As demonstrated in  Figure S1 , the UV-vis absorption spectrum of the pristine CDs exhibited a peak at around 346 nm, while its FL spectra ( Figure S2 ) show a typical excitation-dependent property, demonstrating the synthesis of the desirable CDs [ 28 ]. In the IR spectrum ( Figure 3 a) of the CDs, the peaks observed around 3417, 3248, 1705, 1564, and 1404 cm −1  correspond to the O–H stretching, N–H stretching, C=O vibration, N–H bending, and amido C–N stretching vibration, respectively [ 28 ]. After grafting PPDA onto the surface of the CDs, new peaks at around 2973 and 1652 cm −1  were observed, which correspond to C=C/C=N stretch of polycyclic aromatic hydrocarbons [ 29 ]. The appearance of the C=C/C=N stretch in the IR spectrum indicates the formation of PPDA-functionalized CDs.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.3390/molecules25235731,B26-molecules-25-05731,"Recently, we reported on the first metal-free fluorescent sensor, Naphthyl-Di-AE, able to selectively and reversibly detect DMMP via the multitopic approach by exploiting multiple hydrogen bonds [ 20 ]. Furthermore, very recently, we reported on the first nanosensor based on carbon nanoparticles (CNPs), able to detect very low concentration values of DMMP both in solution and in the gas phase [ 21 ]. The use of CNPs [ 22 , 23 , 24 ] for sensing purposes shows many interesting features, such as the high fluorescence quantum yield [ 25 ], water solubility, low toxicity [ 26 ], low-cost synthesis [ 27 ] and the possibility to functionalize their external shell [ 28 ].",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1186/1556-276X-9-583,B30,"All of these nanomaterials, which consist of carbon element but with different structure, exhibit different effect on the length of the bean sprouts. Additional file  1  (Figure S1-S4) shows some typical growth situations of the bean sprouts with time. In the initial stage (before 72 h), no obvious difference is observed among all the samples; however, nanoparticles with high concentration (≥800 μg/mL) show inhibitive effect on this plant after 96 h (Figure  3 a,b,c,d,e). Figure  3 e shows the detailed comparison of the averaged growth lengths ( n  = 60) in all groups, the length of bean sprouts generally decreases with increasing the concentration of nanomaterials, and it is clear to see that GQDs exhibit remarkable inhibition at high concentration and more dose-dependent than others. Except for GQDs, the other three can promote the growth of bean sprout at the concentration less than 800 μg/mL, demonstrating nontoxicity of these nanomaterials. But for the high concentration (1,200 μg/mL), all these nanoparticles show different degree of inhibition. It is worth noting that the length curve of SWCNTs changes more obviously over the 96 h due to its low solubility (compared to the other three carbon-based nanomaterials), and the final results (Figure  3 e) imply that SWCNTs display less dose-dependent and toxicity after a complete growth circle (120 h). Interestingly, it finds that 100 μg/mL seems to be the most conducive concentration for the growth of green gram sprouts. All these imply that the toxicity of these nanoparticles is time/dose-dependent. So dosage should be concerned in practice, especially particle with such small size can permeate throughout the cytoderm and cytomembrane with good biocompatibility [ 25 , 30 , 31 ]. As shown in Figure  4 , bean sprouts cultivated at high concentration of CQDs emit green fluorescence as marked by red circle when irradiated by a 365 nm UV beam in dark (Figure  4 d); however, no fluorescence was observed at low concentration. After drying at room temperature, bean sprouts still possess fluorescence (Figure  4 c).In addition, the impact of nanomaterials on environment also deserves our full attention. Although the initial concentration of nanoparticles presents irregular influence on pH mainly due to dispersibility of nanoparticles in water, the pH indeed changes with different degrees compared to control group over all the concentration (Figure  3 f), which would affect aquatic organism and even lead them to toxicosis.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.1039/d2ra00039c,cit21,"There are many traditional methods for BPA detection, such as gas chromatography, 12  gas chromatography-mass spectrometry, liquid chromatography-mass spectrometry, 13  high-performance liquid chromatography, 14  and fluorescence analysis. 15  Many analytical methods for the detection of BPA are seriously restricted because of their tedious operation or high cost of instruments. It is necessary to develop a fast, convenient, sensitive method for BPA detection. Among these methods, fluorescence analysis methods for BPA detection have received extensive attention due to their simple operation, high sensitivity, real-time measurement and low cost. 16  However, there are still some problems with these methods. For example, fluorescence sensors are easily affected by external factors, such as probe concentration and excitation intensity, 17  unobvious color change which is difficult to be observed with the naked eye, 18 etc.  These problems might be caused by the single emission spectrum of a fluorophore. 19  Thus, a dual-emission radiometric fluorescent sensor has been considered as a better choice. 20  This kind of fluorescent sensors is usually composed of dual-emitting fluorophores, which are used as reference units or response parts. 21  To solve the problem of weak fluorescent signals, new materials such as nanocomposites can be introduced to the sensors.",No title,10.1002/anie.201109089
10.1038/s41598-022-23055-6,CR12,"In recent years, carbon dots have presented convenient platforms to design and construct ratiometric fluorescent probes. In ratiometric fluorescent probes based on CQDs, there are two major strategies for constructing dual-emission ratiometric fluorescent probes. One is to apply the CQDs as a reference signal which does not respond to the analyte. The other is to introduce CQDs as response signals that are sensitive to analyte and respond to the analyte under optimal conditions 7 , 9 , 10 . In many literatures based on CQDs ratiometric fluorescent probes, the CQDs were used as either analyte-response 11 , 12  or reference unit 13 , 14 . Typically, these CQDs-based ratiometric fluorescent probes have been extended with a series of nanohybrid of CQDs with other organic dyes such as Rhodamine 15 , metal organic framework (MOF) 16 , nanoclusters (AuNCs and CuNCs) 17 , 18  and various QDs (carbon-based quantum dots, semiconductor quantum dots CdTe 19  and CdSe 20 ) for different analytes. All results from the articles confirmed that the target analytes were determined with good selectivity, high accuracy and reproducibility, based on the self-calibration and background correction due to the fluorescence intensity ratio of emission peaks from the response and reference signals.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.1039/c7ra11383h,cit17,"Up to date, many approaches for the detection of Cu 2+  or hemin have been well established, such as atomic absorption spectrometry (AAS), inductively coupled plasma-atomic emission spectroscopy (ICP-AES), capillary electrophoresis, electrochemistry, and so on. 9–14  However, most of these methods still suffer from shortcomings including complex operation process, expensive instruments, or time-consuming pretreatment, which limit their uses for analysis of Cu 2+  or hemin. Fluorescence spectroscopy is one of the most common techniques used for routine analysis. Hence, it is well suited for the detection of Cu 2+  or hemin. However, Cu 2+  or hemin does not possess natural intrinsic fluorescence, and thus they cannot be quantitatively detected by direct fluorimetric analysis. An alternative method is to apply a fluorescent probe for their indirect determination. 15–23",No title,10.1002/anie.201109089
10.3390/nano11051232,B28-nanomaterials-11-01232,"Recently, dual-emission CDs based on ratiometric fluorescence have been used to develop novel methods for more accurate ion detection [ 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 ]. The mechanism depends on the fluorescent properties of the dual-emission CDs. The two different emission centers of these CDs show different levels of sensitivity to ions. The exact content of the detected ions can be calculated by establishing a proportional relationship between the fluorescence intensities of different emission centers. Due to the built-in correction of two distinct emission centers, this method can effectively reduce background interference. Some novel ratiometric CDs have been used as probes to detect different ions. Zhu et al. prepared dual-emission CDs centered at 485 and 644 nm [ 28 ]. The fluorescence peak of the CDs at 485 nm was gradually quenched by Cu 2+ , while that at 644 nm maintained its original intensity throughout. Thus, these CDs could be used as a ratiometric fluorescent sensor for Cu 2+  ions. Some ratiometric probes can be used to detect different ions simultaneously [ 29 , 30 , 31 , 32 ]. Wang et al. carbonized glutathione in a water/formamide mixture to prepare novel dual-emission CDs [ 33 ], which displayed two emissions at 470 and 655 nm. The CDs of the two ions did not interfere with each other; when Fe 3+  was added to the CD solutions, the emission center of the CDs at 655 nm displayed a clear quenching. Similarly, when Zn 2+  was added to the CD solutions, the emission center of the CDs at 470 nm displayed an obvious quenching effect. Thus, the CDs can be used as a good dual-ratiometric probe for simultaneous detection of Zn 2+  and Fe 3+ .",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1039/c9ra05689k,cit6,"Carbon nanoparticles find applications in several fields, such as analytical, 5  biosensing, 6  bioimaging, 7  theranostic, 8  and molecular communication. 9,10  However, to date, few examples of CNPs used as catalysts have been reported. In this context, the well-known increased catalytic properties of a catalyst covalent immobilized onto a solid surface (heterogeneous catalysis) 11–13  are also founded with carbon nanoparticles as nanocatalysts.",No title,10.1002/anie.201109089
10.1038/srep02933,b18,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep02933,b19,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep02933,b18,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep02933,b19,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep36794,b26,"RGB (red, green and blue)-based color change has been extensively explored in sensor development since the analyte response can be directly and sensitively read out with naked eye 17 18 19 . For example, Suslick and co-workers have established a series of organic dyes-based sensor arrays for discriminating analytes with the RGB values of the difference maps 20 21 . Particularly, ratiometric sensing with “traffic light”-type response, i.e., encoding the signal with one color as the signal code and another as the reference, is a typical application of RGB for visual analysis 22 23 . In this manner, the facile tunability of QD fluorescence holds great opportunity for RGB-based visual analysis 24 25 26 27 .",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for,No DOI
10.1038/srep36794,b26,"Here we used a simple QD-dye mixed system to develop the ratiometric visual sensing moiety, since the broad absorption of QDs provides vast potential for simultaneous excitation of both QDs and dyes 31 . CdTe QDs were selected since they can be facilely synthesized via aqueous synthetic routes with high fluorescent yield 30 . To achieve visual color profiling, red-emitting CdTe QDs (with six common thiols as capping ligands: three amino acid L-Cys, N-A-cys, GSH, and three carboxylic acid, TGA, MPA and MSA) were obtained with a one-step refluxing route 32 . The UV-Vis absorption and photoluminescence (PL) spectra of L-Cys capped CdTe QDs were given in  Figure S1A  (the rest were given in  Figure S2  and  Table S1 ). A well-resolved absorption maximum of the first electronic transition at 595 nm and a red PL emission band of 630 nm were identified for L-Cys capped CdTe QDs ( Figure S1A ). To supply a reference color that facilitates visual readout, green-emitting fluorescein was chosen for use, which exhibits a bright emission band at 530 nm. After mixing, the PL spectra of the CdTe QDs-fluorescein mixture retain the profile of both CdTe QDs and fluorescein ( Figure S1B ). Importantly, both CdTe QDs and fluorescein can be excited at 365 nm ( Figure S1B ), which paves the way of using a handheld UV lamp for convenient visual detection. The variation of fluorescent color between red and green is advantageous since both red and green are among the most sensitive colors to human eyes 24 25 26 33 .",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for,No DOI
10.3390/ma14061504,B24-materials-14-01504,"To investigate in vitro cellular uptake of the HA nanogel carriers, FITC as a fluorescence indicator was encapsulated in the HA nanogels. Due to a negative charge, HA nanogels were uptaken into the B16F1 cells by the HA receptor-mediated endocytosis. We performed the incubation of the HA nanogels containing FITC with B16F1 cells, which are known to express HA receptors such as CD44 and LYVE-1 [ 24 , 25 , 26 , 27 ]. After incubation for a predetermined period (1 h, 2 h), confocal microscopic analysis was carried out ( Figure 4 ). The in vitro bioimaging using HA nanogels showed the target-specific intracellular delivery of HA derivatives to the B16F1 cells with HA receptors. After incubation of the HA nanogels for 1 h, we could confirm the efficient uptake of nanogels into the melanoma cells. Furthermore, the amount of uptaken nanogels into the B16F1 cells was increased with increasing time (top and middle rows in  Figure 4 ). In addition, we investigated the competitive cellular uptake of the HA nanogels with preincubation of free HA to confirm the HA receptor-mediated endocytosis. As shown in  Figure 4 , the preincubation of intact HA appeared to reduce the cellular uptake of HA nanogels drastically. The results of the competitive binding test with preincubation of free HA clearly supported the HA receptor-mediated endocytosis of the HA nanogels.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/ma14061504,B24-materials-14-01504,"On the basis of the results for cellular uptake, we assessed in vivo penetration of the nanogels into mice skin and sublingual region. The HA nanogels labeled with Cy5.5 were topically applied on mice back skin and sublingual region. In our previous work, we could confirm that HA–ovalbumin (OVA) conjugates had successfully penetrated into the skin barrier (stratum corneum) and were well dispersed in the epidermis and dermis layers [ 16 ]. In addition, HA–poly(lactide-co-glycolide) (PLGA) nanoparticles encapsulating minoxidil also showed successful transdermal penetration [ 28 ]. However, the other groups without HA conjugation could not be delivered to the deep skin tissues. In accordance with previous results, HA nanogels could be delivered and well dispersed in deep skin tissues, possibly by the HA receptor-mediated endocytosis. Confocal microscopic images of tissue sections harvested at 4 h post-topical administration showed significant penetration of HA nanogels into the skin ( Figure 5 A). For the quantitative analysis, we measured the spatial distribution of Cy5.5 fluorescence. At 4 h, the remaining solution outside the skin was collected and analyzed, and showed that 55% of the total applied Cy5.5 labeled to the HA nanogels remained in the solution. Assuming that the rest of agents had penetrated into the tissues, 23% of the total nanogels appeared to be present in the stratum corneum, 17% in the epidermis and 5% in the dermis ( Figure 5 B). Of the total 45% of HA nanogels that were absorbed in the skin, about 49% (= 22/45) of those were delivered to the epidermis and dermis. In addition, the HA nanogels also exhibited excellent penetrative behaviors in the sublingual region, as shown in the histological analysis ( Figure 5 C). The 40% of the total Cy5.5 labeled in HA nanogels remained in the solution. Assuming that the rest of agents had penetrated in the tissues, 30% of the total nanogels were present in the ventral epithelium, 19% in the dorsal epithelium and 11% in the muscle ( Figure 5 B). About 50% (=30/60) of them were delivered to the deep tongue.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1021/acsami.2c16199,ref80,"Hydrogen peroxide is present in cancer cells or
inflamed tissues. 61 − 64  Indeed, recent research efforts have demonstrated that ROS intermediates
generated by nanozymes can act as antibacterial agents and as active
toxic agents against cancer cells. 75 , 76  In fact, the
formation of ROS species by photodynamic therapeutic treatment of
cancer cells demonstrated effective cytotoxicity toward cancer cells,
and recent research efforts suggested the application of nanozyme-generated
ROS species as a means for chemodynamic treatment of cancer cells. 77 , 78  The drawbacks of this concept rest, however, on the limited cellular
permeability and lack of selectivity of the nanoparticles affecting
cancer as compared to normal cells. The effective permeation of C-dots
into cells, 79 , 80  suggests that functionalization
of Ce 4+ -ion-modified C-dots with cell-specific aptamers
could be an ideal method to develop effective aptananozymes for chemodynamic
treatment of cancer cells. That is, the functionalization of the Ce 4+ -ion-modified C-dots with cancer cell-specific aptamers would
enhance the targeted permeation of the nanoparticles into cancer cells,
and the H 2 O 2  presented in the cancer cells will
act as the aptananozyme substrate for the selective generation of  • OH as a cytotoxic agent in the cancer cells/tissues.
Accordingly, the Ce 4+ -ion-modified C-dots were functionalized
with the amino-modified AS1411 aptamer, ( 11 ), that binds
to the nucleolin receptor associated with various cancer cells, 81 , 82  or with the MUC1 aptamer ( 12 ) that binds to different
cancer cells, for example, breast cancer cells. 66 , 83  In vitro experiments, the formation of  • OH in
the presence of H 2 O 2  and the AS1411-functionalized
Ce 4+ -ion-modified C-dots in the presence of H 2 O 2 .  Figure  4 A shows the absorbance changes of the ROS probe 1,3-diphenylisobenzofuran,
DPBF, upon reacting H 2 O 2  with AS1411-functionalized
Ce 4+ -ion-modified C-dots in the presence of the DPBF probe.
The time-dependent depletion of the absorbance spectra of DPBF is
consistent with the formation of ROS products. 84 , 85  Control experiments revealed that the AS1411-functionalized Ce 4+ -ion-modified C-dots in the absence of H 2 O 2  or the application of H 2 O 2  on the probe
agent in the absence of the AS1411-functionalized Ce 4+ -ion-modified
C-dots had very little effect on the ROS probing label,  Figure S11 . These experiments confirm the in
vitro generation of the ROS product ( • OH) by the
AS1411-functionalized Ce 4+ -ion-modified C-dots. It should
be noted that the non-Ce 4+ -modified C-dots functionalized
with the AS1411 aptamer or the MUC1 aptamer did not show any ROS product
generation capacity in the presence of H 2 O 2 .","Carbon-Dot-Based
Dual-Emission
Nanohybrid Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging
of Cellular Copper Ions",10.1002/anie.201109089
